date,prefecture_code,gender,elderly,status,count
2021-04-15,32,F,1,1,59
2021-04-15,32,M,0,1,2
2021-04-15,32,M,1,1,9
2021-04-15,32,U,NA,1,33
2021-04-15,33,F,0,1,6
2021-04-15,33,F,1,1,11
2021-04-15,33,M,0,1,2
2021-04-15,33,M,1,1,4
2021-04-15,33,U,NA,1,24
2021-04-15,34,F,0,1,7
2021-04-15,34,F,1,1,9
2021-04-15,34,M,0,1,2
2021-04-15,34,M,1,1,3
2021-04-15,34,U,NA,1,4
2021-04-15,35,F,0,1,1
2021-04-15,35,F,1,1,147
2021-04-15,35,M,1,1,36
2021-04-15,35,U,NA,1,42
2021-04-15,36,F,0,1,10
2021-04-15,36,F,1,1,46
2021-04-15,36,M,0,1,1
2021-04-15,36,M,1,1,15
2021-04-15,36,U,NA,1,12
2021-04-15,37,F,0,1,31
2021-04-15,37,F,1,1,130
2021-04-15,37,M,0,1,5
2021-04-15,37,M,1,1,117
2021-04-15,37,U,NA,1,3
2021-04-15,38,F,0,1,22
2021-04-15,38,F,1,1,46
2021-04-15,38,M,0,1,23
2021-04-15,38,M,1,1,10
2021-04-15,38,U,NA,1,13
2021-04-15,39,F,0,1,13
2021-04-15,39,F,1,1,128
2021-04-15,39,M,0,1,1
2021-04-15,39,M,1,1,39
2021-04-15,39,U,NA,1,56
2021-04-15,40,F,0,1,240
2021-04-15,40,F,1,1,25
2021-04-15,40,M,0,1,98
2021-04-15,40,M,1,1,25
2021-04-15,41,F,0,1,29
2021-04-15,41,F,1,1,6
2021-04-15,41,M,0,1,17
2021-04-15,41,M,1,1,2
2021-04-15,41,U,NA,1,16
2021-04-15,42,F,0,1,23
2021-04-15,42,F,1,1,1
2021-04-15,42,M,0,1,5
2021-04-15,42,M,1,1,1
2021-04-15,43,F,0,1,10
2021-04-15,43,F,1,1,36
2021-04-15,43,M,0,1,5
2021-04-15,43,M,1,1,11
2021-04-15,43,U,NA,1,11
2021-04-15,44,F,0,1,4
2021-04-15,44,F,1,1,80
2021-04-15,44,M,0,1,1
2021-04-15,44,M,1,1,46
2021-04-15,44,U,NA,1,22
2021-04-15,45,F,0,1,5
2021-04-15,45,F,1,1,32
2021-04-15,45,M,0,1,1
2021-04-15,45,M,1,1,20
2021-04-15,45,U,NA,1,3
2021-04-15,46,F,0,1,31
2021-04-15,46,F,1,1,10
2021-04-15,46,M,0,1,11
2021-04-15,46,M,1,1,2
